filename,sub,ses,task,stim
sub-3000_04_ses-1_task-alice.fif,3000_04,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-3042_04_ses-1_task-alice.fif,3042_04,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-3047_04_ses-1_task-alice.fif,3047_04,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-3048_03_ses-1_task-alice.fif,3048_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-3049_03_ses-1_task-alice.fif,3049_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-3051_04_ses-1_task-alice.fif,3051_04,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-3060_04_ses-1_task-alice.fif,3060_04,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-3062_03_ses-1_task-alice.fif,3062_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-3069_03_ses-1_task-alice.fif,3069_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-3070_03_ses-1_task-alice.fif,3070_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
